"","Country","Taxa","Species","SynchVar","MeanRhos","rho250km","Mean250km","meansynchtemp.detrended","meansynchprecip.detrended","meandist","mediandist","Mean250kmZ","precip","temp","Sedentary","Groupreslongshort","SpecialistGeneralistRank_Y","SpecialistGeneralistRank_B","GenLength","Voltinism","FINAL","Larvaldiet","LogGenTime","insectLarvalDiet","MobilityBird","MobilityInsect","slowfast","movement","specgen","Taxa2","Dataset"
"1","France","Songbirds","Anthus trivialis","log.r",0.0307791843202963,0.0307991764580255,0.0261198511994161,0.97,0.823489441656172,154.397786802197,170.717732909562,0.0277546112503609,0.893956787273467,0.984827188395546,0,"Long",1,1,2.108718091,NA,NA,NA,0.746080223050455,NA,"Long",NA,"0.746080223050455","Long",1,"Birds","France Birds"
"2","France","Songbirds","Cuculus canorus","log.r",0.043541547707233,0.0446429582333291,0.0287686892205881,0.97,0.823489441656172,162.492330449864,171.315136942178,0.0309301380596326,0.863199935729639,0.984594234090147,0,"Long",2,2,2.756471878,NA,NA,NA,1.01395155692772,NA,"Long",NA,"1.01395155692772","Long",2,"Birds","France Birds"
"3","France","Songbirds","Hippolais polyglotta","log.r",0.0512700107867138,0.0520951645931499,0.091960942441927,0.97,0.823489441656172,163.610864812277,171.107914595934,0.0993930264863572,0.884974725418979,0.987280583625176,0,"Long",1,1,2.112982391,NA,NA,NA,0.748100404950354,NA,"Long",NA,"0.748100404950354","Long",1,"Birds","France Birds"
"4","France","Songbirds","Hirundo rustica","log.r",0.028903665735056,0.0282655976269357,0.0129361674571807,0.97,0.823489441656172,161.152475318616,169.857898704427,0.0122875971337008,0.885938862004909,0.982908339509814,0,"Long",1,1,3.132150175,NA,NA,NA,1.14171972557421,NA,"Long",NA,"1.14171972557421","Long",1,"Birds","France Birds"
"5","France","Songbirds","Luscinia megarhynchos","log.r",0.0549217685724344,0.066111583472971,0.0740046354186457,0.97,0.823489441656172,161.551436106914,170.836516924831,0.0834315525990988,0.865636106191981,0.98420333359593,0,"Long",3,2,2.410061982,NA,NA,NA,0.879652465844044,NA,"Long",NA,"0.879652465844044","Long",2,"Birds","France Birds"
"6","France","Songbirds","Motacilla flava","log.r",0.138192131803151,0.0710312710429023,0.207755857174772,0.97,0.823489441656172,142.621331716563,123.309071932074,0.213444699221764,0.823489441656172,0.97,0,"Long",2,2,2.185110436,NA,NA,NA,0.781666370062072,NA,"Long",NA,"0.781666370062072","Long",2,"Birds","France Birds"
"7","France","Songbirds","Oriolus oriolus","log.r",0.0500940581497133,0.0471571578758518,0.0997527124633309,0.97,0.823489441656172,156.152548342254,166.247504322914,0.110720638781258,0.876031746370979,0.984232544818687,0,"Long",2,1,3.219543712,NA,NA,NA,1.16923964516748,NA,"Long",NA,"1.16923964516748","Long",1,"Birds","France Birds"
"8","France","Songbirds","Saxicola rubicola","log.r",0.0491245419405296,0.0407347128217548,0.120293962087782,0.97,0.823489441656172,158.549557140255,172.837864099455,0.129181302363721,0.906478057285395,0.986279977635525,0,"Long",3,2,2.24855242,NA,NA,NA,0.810286640276865,NA,"Long",NA,"0.810286640276865","Long",2,"Birds","France Birds"
"9","France","Songbirds","Streptopelia turtur","log.r",0.0564255214944777,0.0519790630790942,0.044284284049223,0.97,0.823489441656172,159.02357232771,169.09475823878,0.0471899133745151,0.895912021782196,0.985311272705966,0,"Long",2,2,2.833879633,NA,NA,NA,1.04164666788944,NA,"Long",NA,"1.04164666788944","Long",2,"Birds","France Birds"
"10","France","Songbirds","Sylvia borin","log.r",0.072376203034006,0.0567206949562206,0.0544438631417919,0.97,0.823489441656172,160.196246136153,176.057008254396,0.0551020961794341,0.823489441656172,0.97,0,"Long",2,1,3.591084482,NA,NA,NA,1.27845424100453,NA,"Long",NA,"1.27845424100453","Long",1,"Birds","France Birds"
"11","France","Songbirds","Sylvia communis","log.r",0.189640482450553,0.195623826653623,0.198272920240314,0.97,0.823489441656172,161.082952464855,171.063592232268,0.213890146455614,0.890669192738554,0.983943280586081,0,"Long",2,1,2.172764581,NA,NA,NA,0.77600035716322,NA,"Long",NA,"0.77600035716322","Long",1,"Birds","France Birds"
"12","France","Songbirds","Upupa epops","log.r",0.0915470845308944,0.123444488121645,0.113672672197002,0.97,0.823489441656172,158.651452421202,166.202613729014,0.136988579521016,0.823489441656172,0.97,0,"Long",2,1,2.477065393,NA,NA,NA,0.907074550239489,NA,"Long",NA,"0.907074550239489","Long",1,"Birds","France Birds"
"13","Norway","Songbirds","Actitis hypoleucos","log.r",0.0160250388552645,9.5218772772137e-05,0.0207059156754702,0.849127696181618,0.649976397369655,139.267653900793,131.60545796115,0.0646407125014092,0.649976397369655,0.84,0,"Long",2,2,4.422382063,NA,NA,NA,1.48667847920046,NA,"Long",NA,"1.48667847920046","Long",2,"Birds","Norway Birds"
"14","Norway","Songbirds","Anthus trivialis","log.r",0.112482130391101,0.108881541799247,0.0908064907102186,0.849127696181618,0.649976397369655,150.825276377186,160.789094489576,0.102909723213086,0.819996212312409,0.84,0,"Long",1,1,2.108718091,NA,NA,NA,0.746080223050455,NA,"Long",NA,"0.746080223050455","Long",1,"Birds","Norway Birds"
"15","Norway","Songbirds","Cuculus canorus","log.r",0.00404433767702976,0.0169341789016434,0.0475861769058035,0.849127696181618,0.649976397369655,149.428654715827,160.943839915014,0.0489896678521384,0.841153165237921,0.84,0,"Long",2,2,2.756471878,NA,NA,NA,1.01395155692772,NA,"Long",NA,"1.01395155692772","Long",2,"Birds","Norway Birds"
"16","Norway","Songbirds","Ficedula hypoleuca","log.r",0.162332781565101,0.110939116445669,0.195367043255456,0.849127696181618,0.649976397369655,137.287798199545,134.032748469683,0.211031048817447,0.810342334035406,0.84,0,"Long",3,2,4.116172628,NA,NA,NA,1.41492375781146,NA,"Long",NA,"1.41492375781146","Long",2,"Birds","Norway Birds"
"17","Norway","Songbirds","Cyanecula svecica","log.r",-0.046680573744983,9.12646135436413e-17,-0.0425101480328909,0.849127696181618,0.649976397369655,130.669961241201,127.139248373994,-0.0514091344217848,0.649976397369655,0.84,0,"Long",3,2,2.484010114,NA,NA,NA,0.909874235721558,NA,"Long",NA,"0.909874235721558","Long",2,"Birds","Norway Birds"
"18","Norway","Songbirds","Numenius phaeopus","log.r",-0.000396201493775073,0.00259096931544077,-0.0196879986961026,0.849127696181618,0.649976397369655,138.903000553939,124.803289517955,-0.0273616220775313,0.749356764969663,0.84,0,"Long",5,3,6.456258669,NA,NA,NA,1.86504999661482,NA,"Long",NA,"1.86504999661482","Long",3,"Birds","Norway Birds"
