"LogGenTime","Taxa","Voltinism","MobilityBird","MobilityInsects","BirdDiet","LarvalDiet","Larvaldiet"
0.872549806834813,"Birds",NA,"Resident",NA,2,NA,NA
1.04147859793431,"Birds",NA,"Resident",NA,3,NA,NA
1.564652443926,"Birds",NA,"Short",NA,4,NA,NA
0.746080223050455,"Birds",NA,"Long",NA,1,NA,NA
2.24595866067389,"Birds",NA,"Resident",NA,1,NA,NA
0.788681802902432,"Birds",NA,"Resident",NA,1,NA,NA
0.927444678289434,"Birds",NA,"Resident",NA,1,NA,NA
0.99536810237504,"Birds",NA,"Resident",NA,1,NA,NA
0.531389614092944,"Birds",NA,"Resident",NA,2,NA,NA
1.38456380532162,"Birds",NA,"Resident",NA,1,NA,NA
1.31272273983509,"Birds",NA,"Short",NA,3,NA,NA
1.74445120615062,"Birds",NA,"Resident",NA,6,NA,NA
1.7201068947577,"Birds",NA,"Resident",NA,6,NA,NA
1.71679901045187,"Birds",NA,"Resident",NA,6,NA,NA
1.01395155692772,"Birds",NA,"Long",NA,2,NA,NA
1.07591657537154,"Birds",NA,"Resident",NA,2,NA,NA
0.993518396722282,"Birds",NA,"Resident",NA,1,NA,NA
0.90655774565993,"Birds",NA,"Resident",NA,3,NA,NA
0.911202914051615,"Birds",NA,"Resident",NA,3,NA,NA
1.01858873478336,"Birds",NA,"Resident",NA,3,NA,NA
1.28127356941601,"Birds",NA,"Resident",NA,2,NA,NA
1.60560063629812,"Birds",NA,"Resident",NA,3,NA,NA
1.59063391524086,"Birds",NA,"Resident",NA,4,NA,NA
0.748100404950354,"Birds",NA,"Long",NA,1,NA,NA
1.14171972557421,"Birds",NA,"Long",NA,1,NA,NA
0.874662718858249,"Birds",NA,"Resident",NA,2,NA,NA
0.879652465844044,"Birds",NA,"Long",NA,2,NA,NA
1.03148213909415,"Birds",NA,"Resident",NA,2,NA,NA
0.781666370062072,"Birds",NA,"Long",NA,2,NA,NA
1.16923964516748,"Birds",NA,"Long",NA,1,NA,NA
1.11504553190747,"Birds",NA,"Resident",NA,2,NA,NA
1.31542775072653,"Birds",NA,"Resident",NA,1,NA,NA
0.659196687169397,"Birds",NA,"Resident",NA,2,NA,NA
1.56303978556095,"Birds",NA,"Resident",NA,4,NA,NA
0.880859815177818,"Birds",NA,"Resident",NA,3,NA,NA
0.691951677731128,"Birds",NA,"Short",NA,1,NA,NA
1.75990072855796,"Birds",NA,"Resident",NA,6,NA,NA
1.11871238838165,"Birds",NA,"Resident",NA,1,NA,NA
1.33879340120692,"Birds",NA,"Resident",NA,1,NA,NA
0.574457264061411,"Birds",NA,"Resident",NA,2,NA,NA
